run_id,profile,checkpoint,gamma,seed,step,layer,status,training_loss,training_accuracy,test_accuracy,ntk_drift,weight_displacement,cka_drift,effective_rank,local_q01,local_normalized_q01,task_jacobian,nuisance_jacobian,global_q01,global_normalized_q01,collision_score,linear_nuisance_cosine,mlp_nuisance_cosine,linear_task_accuracy,mlp_task_accuracy,ph_h1_top1,ph_h1_top2
3c7c28f731ba2310,03878c8d9b9954cd,final,1.0,0,128,1,converged,0.07975946617126464,0.96035,0.963,3.631577491760254,0.057042513387841665,0.002437109604192522,8.034788377051308,3.2040164470672607,0.7180110812187195,4.120114326477051,3.7644410133361816,1.8751261234283447,0.42021051000590387,0.14087778329849243,0.9999951720237732,0.9996820688247681,0.992,0.992,0.8781399925549825,0.7200113236904144
3c7c28f731ba2310,03878c8d9b9954cd,final,1.0,0,128,2,converged,0.07975946617126464,0.96035,0.963,3.631577491760254,0.057042513387841665,0.09321576079562033,8.401789867246183,2.951033353805542,0.6095090508460999,5.443516731262207,3.631352424621582,1.8039112091064453,0.3725814332111216,0.1891627460718155,0.9999688267707825,0.999550461769104,0.991,0.991,1.0014292001724243,0.4817698697249095
3c7c28f731ba2310,03878c8d9b9954cd,final,1.0,0,128,3,converged,0.07975946617126464,0.96035,0.963,3.631577491760254,0.057042513387841665,0.17973123764084142,6.168102689776616,2.6326212882995605,0.4310630261898041,7.250527858734131,3.4692935943603516,1.6713669300079346,0.2736681098398112,0.22571469843387604,0.9999085664749146,0.9994853734970093,0.992,0.989,1.0595572690169017,0.2950984636942546
3c7c28f731ba2310,03878c8d9b9954cd,final,1.0,0,128,4,converged,0.07975946617126464,0.96035,0.963,3.631577491760254,0.057042513387841665,0.26369385538934365,5.027570794654189,2.4387006759643555,0.31256476044654846,9.414461135864258,3.380723476409912,1.5877845287322998,0.2035040528458661,0.2659030854701996,0.9997733235359192,0.9991431832313538,0.994,0.996,0.9944869677225748,0.18686543901761374
d225c2cecd893785,03878c8d9b9954cd,step_0000000,128.0,1,0,1,converged,1.3862946044921876,0.2496,0.256,0.0,,1.9984014443252818e-15,8.087431230653586,3.1112101078033447,0.7160986661911011,3.797456979751587,3.794009208679199,1.8348439931869507,0.4223209767251606,0.14072029292583466,0.9999967217445374,0.9997196197509766,0.992,0.982,0.7785612940788269,0.7549129823843638
d225c2cecd893785,03878c8d9b9954cd,step_0000000,128.0,1,0,2,converged,1.3862946044921876,0.2496,0.256,0.0,,2.3314683517128287e-15,10.673854632791711,2.8233463764190674,0.7486216425895691,3.763105869293213,3.8114309310913086,1.5323883295059204,0.4063189131572288,0.1461678296327591,0.9999758005142212,0.9993117451667786,0.989,0.988,0.7211771011352539,0.6888223687807719
d225c2cecd893785,03878c8d9b9954cd,step_0000000,128.0,1,0,3,converged,1.3862946044921876,0.2496,0.256,0.0,,0.0,13.17694484888675,2.5116138458251953,0.7773213982582092,3.6542835235595703,3.7394051551818848,1.2810767889022827,0.3964814979745464,0.15351954102516174,0.9999489784240723,0.9991095066070557,0.989,0.984,0.6593608061472574,0.6253043214480082
d225c2cecd893785,03878c8d9b9954cd,step_0000000,128.0,1,0,4,converged,1.3862946044921876,0.2496,0.256,0.0,,1.2212453270876722e-15,14.41621406830372,2.382180690765381,0.812596321105957,3.615731716156006,3.7210092544555664,1.1376222372055054,0.38805941077518297,0.16049417853355408,0.9998883008956909,0.999147355556488,0.988,0.986,0.5921048323313395,0.5353928407033285
d225c2cecd893785,03878c8d9b9954cd,final,128.0,1,256,1,converged,0.04394989814758301,0.9817,0.977,5425.6787109375,0.3259376214560101,0.1368845181651367,6.4167725013404295,2.995290994644165,0.5173466205596924,6.046867370605469,3.5079402923583984,2.1016359329223633,0.36299451511742087,0.19803400337696075,0.99998939037323,0.9996674656867981,0.993,0.979,1.0753473142782848,0.4562445978323619
d225c2cecd893785,03878c8d9b9954cd,final,128.0,1,256,2,converged,0.04394989814758301,0.9817,0.977,5425.6787109375,0.3259376214560101,0.34888962354827446,2.9963972525716773,2.6002306938171387,0.13357581198215485,19.39574432373047,3.3768386840820312,2.1817429065704346,0.11207777502230803,0.4291176199913025,0.9998961687088013,0.999615490436554,0.997,0.99,1.246621459722519,0.0811470200618108
d225c2cecd893785,03878c8d9b9954cd,final,128.0,1,256,3,converged,0.04394989814758301,0.9817,0.977,5425.6787109375,0.3259376214560101,0.3725025884223012,2.572585395012751,2.3403584957122803,0.03206624090671539,60.43592834472656,4.19281005859375,2.9077024459838867,0.039839659634554866,0.7173871994018555,0.9991814494132996,0.9988285899162292,0.997,0.986,1.1539870103200276,0.015777374307314556
d225c2cecd893785,03878c8d9b9954cd,final,128.0,1,256,4,converged,0.04394989814758301,0.9817,0.977,5425.6787109375,0.3259376214560101,0.43118076605599986,2.6049564912988727,2.1970808506011963,0.00799777451902628,199.20291137695312,9.867403030395508,7.046085834503174,0.025649036861955795,1.2833983898162842,0.9936146140098572,0.9924675822257996,0.995,0.992,1.0270711878935497,0.01389436423778534
a0f1d488e49d1856,03878c8d9b9954cd,step_0000000,128.0,2,0,1,converged,1.3862946044921876,0.2496,0.256,0.0,,-6.661338147750939e-16,8.088566641533532,3.2907307147979736,0.7468307018280029,3.9913082122802734,3.7987194061279297,1.8744806051254272,0.425413025217632,0.1404963880777359,0.9999968409538269,0.999735951423645,0.993,0.991,0.7827601035435995,0.7495985627174377
a0f1d488e49d1856,03878c8d9b9954cd,step_0000000,128.0,2,0,2,converged,1.3862946044921876,0.2496,0.256,0.0,,-4.440892098500626e-16,10.909260424735939,2.915081262588501,0.7613140940666199,4.161735534667969,3.7593302726745605,1.5339306592941284,0.4006073645008298,0.14800336956977844,0.9999774098396301,0.9995109438896179,0.99,0.977,0.7161146203676859,0.6270299752553304
a0f1d488e49d1856,03878c8d9b9954cd,step_0000000,128.0,2,0,3,converged,1.3862946044921876,0.2496,0.256,0.0,,1.3322676295501878e-15,13.37523643672316,2.764037847518921,0.7995384931564331,4.194117546081543,3.8873233795166016,1.3580769300460815,0.39284368708354406,0.15436521172523499,0.9999390840530396,0.9992921948432922,0.991,0.988,0.6012787818908691,0.5496688882509867
