profile,layer,gamma,metric,n,mean,lower,upper
03878c8d9b9954cd,2,0.03125,local_normalized_q01,3,0.7647616465886434,0.743763267993927,0.7909045815467834
03878c8d9b9954cd,2,0.5,local_normalized_q01,3,0.7129232088724772,0.6816366910934448,0.7345459461212158
03878c8d9b9954cd,2,1.0,local_normalized_q01,3,0.6239629586537679,0.6095090508460999,0.6431919932365417
03878c8d9b9954cd,2,16.0,local_normalized_q01,3,0.27105745673179626,0.26006054878234863,0.29285094141960144
03878c8d9b9954cd,2,128.0,local_normalized_q01,3,0.15267473955949148,0.13357581198215485,0.1681085228919983
03878c8d9b9954cd,2,0.03125,global_normalized_q01,3,0.39747460640297777,0.38539122253582114,0.40646180424709816
03878c8d9b9954cd,2,0.5,global_normalized_q01,3,0.4039650862830197,0.39966840864812164,0.41222335804488375
03878c8d9b9954cd,2,1.0,global_normalized_q01,3,0.3834378986120106,0.37258143321112164,0.3960198373234159
03878c8d9b9954cd,2,16.0,global_normalized_q01,3,0.19558260488729398,0.18990221790399456,0.20351558436599956
03878c8d9b9954cd,2,128.0,global_normalized_q01,3,0.1223266893284188,0.11207777502230803,0.1308974502327014
03878c8d9b9954cd,2,0.03125,nuisance_jacobian,3,3.7839976946512857,3.7580296993255615,3.8132829666137695
03878c8d9b9954cd,2,0.5,nuisance_jacobian,3,3.7135621706644693,3.6509318351745605,3.7489452362060547
03878c8d9b9954cd,2,1.0,nuisance_jacobian,3,3.647069772084554,3.631352424621582,3.6599905490875244
03878c8d9b9954cd,2,16.0,nuisance_jacobian,3,3.210234800974528,3.1859130859375,3.2427244186401367
03878c8d9b9954cd,2,128.0,nuisance_jacobian,3,3.501096328099569,3.3768386840820312,3.6103909015655518
03878c8d9b9954cd,2,0.03125,mlp_nuisance_cosine,3,0.9994485378265381,0.9993298053741455,0.9995629787445068
03878c8d9b9954cd,2,0.5,mlp_nuisance_cosine,3,0.999497632185618,0.999459445476532,0.9995492100715637
03878c8d9b9954cd,2,1.0,mlp_nuisance_cosine,3,0.9995408455530802,0.9995189309120178,0.9995531439781189
03878c8d9b9954cd,2,16.0,mlp_nuisance_cosine,3,0.9994999567667643,0.9994720220565796,0.9995332360267639
03878c8d9b9954cd,2,128.0,mlp_nuisance_cosine,3,0.9996204574902853,0.999615490436554,0.9996303915977478
03878c8d9b9954cd,2,0.03125,ph_h1_top2,3,0.6567109094725714,0.6263856887817383,0.6913145581881205
03878c8d9b9954cd,2,0.5,ph_h1_top2,3,0.5913502507739596,0.5288082659244537,0.6465669373671213
03878c8d9b9954cd,2,1.0,ph_h1_top2,3,0.4999341567357381,0.47950417796770733,0.5385284225145975
03878c8d9b9954cd,2,16.0,ph_h1_top2,3,0.19983814160029092,0.18011497457822165,0.21486753225326538
03878c8d9b9954cd,2,128.0,ph_h1_top2,3,0.10113851560486686,0.0811470200618108,0.12619773546854654
03878c8d9b9954cd,3,0.03125,test_accuracy,3,0.9863333333333334,0.985,0.988
03878c8d9b9954cd,3,0.5,test_accuracy,3,0.975,0.965,0.984
03878c8d9b9954cd,3,1.0,test_accuracy,3,0.967,0.963,0.9700000000000001
03878c8d9b9954cd,3,16.0,test_accuracy,3,0.9753333333333334,0.9620000000000001,0.9860000000000001
