gamma,seed,layer,noise_level,training_rms,coordinate_noise_sd,angular_cosine,angular_mae
2.0,101,4,0.1,9.538571707518306,0.059616073171989414,0.995318282552382,0.07750914390058687
2.0,102,4,0.0,9.835969499081951,0.0,0.9995899828300516,0.02180999626331822
2.0,102,4,0.001,9.835969499081951,0.0006147480936926219,0.9995853539595168,0.02196737711233154
2.0,102,4,0.01,9.835969499081951,0.00614748093692622,0.9995076400537091,0.02404931176907096
2.0,102,4,0.1,9.835969499081951,0.061474809369262196,0.9951323865313768,0.0794065795179085
4.0,100,4,0.0,15.677524021036175,0.0,0.9996618915983035,0.020371482160835064
4.0,100,4,0.001,15.677524021036175,0.000979845251314761,0.9996581776271561,0.020420780756070133
4.0,100,4,0.01,15.677524021036175,0.00979845251314761,0.9994864583584745,0.02546720732585644
4.0,100,4,0.1,15.677524021036175,0.0979845251314761,0.9927487685968126,0.09607714268241643
4.0,101,4,0.0,16.294500763928017,0.0,0.9993309383538024,0.02831486711556762
4.0,101,4,0.001,16.294500763928017,0.0010184062977455011,0.9993112554099162,0.02867667125559076
4.0,101,4,0.01,16.294500763928017,0.010184062977455012,0.9991133357815586,0.03313399931262231
4.0,101,4,0.1,16.294500763928017,0.1018406297745501,0.9903778156147802,0.11134236624761056
4.0,102,4,0.0,14.248407640568468,0.0,0.9995242321145701,0.0243689737363155
4.0,102,4,0.001,14.248407640568468,0.0008905254775355292,0.9995120485779239,0.024712264329768776
4.0,102,4,0.01,14.248407640568468,0.008905254775355293,0.9993410092656994,0.02901977862315209
4.0,102,4,0.1,14.248407640568468,0.08905254775355292,0.9932907561463519,0.09204254897185656
8.0,100,4,0.0,26.70554275175273,0.0,0.9995126587570535,0.02474701477932818
8.0,100,4,0.001,26.70554275175273,0.0016690964219845457,0.9995014703356188,0.025153857930846117
8.0,100,4,0.01,26.70554275175273,0.016690964219845457,0.9992518398176364,0.030704208896999898
8.0,100,4,0.1,26.70554275175273,0.16690964219845458,0.9850560689473775,0.13593051405563128
8.0,101,4,0.0,25.451025173525103,0.0,0.9992881336273265,0.029542972542462208
8.0,101,4,0.001,25.451025173525103,0.001590689073345319,0.9992841825100777,0.029799484752953822
8.0,101,4,0.01,25.451025173525103,0.01590689073345319,0.9989405319539023,0.036637134802344117
8.0,101,4,0.1,25.451025173525103,0.1590689073345319,0.9823262071886697,0.15011458508423395
8.0,102,4,0.0,26.60514364112177,0.0,0.9991948343043334,0.03150393927763136
8.0,102,4,0.001,26.60514364112177,0.0016628214775701107,0.999173830199129,0.03199307967170464
8.0,102,4,0.01,26.60514364112177,0.016628214775701106,0.9986945535564953,0.040848376362756254
8.0,102,4,0.1,26.60514364112177,0.16628214775701108,0.9801495785056124,0.15880015117671434
16.0,100,4,0.0,43.10624817377034,0.0,0.9992238351813261,0.031784564562077844
16.0,100,4,0.001,43.10624817377034,0.002694140510860646,0.9992047457451727,0.03197781503509975
16.0,100,4,0.01,43.10624817377034,0.026941405108606462,0.9986931413342586,0.04000828709436982
16.0,100,4,0.1,43.10624817377034,0.26941405108606464,0.9707353705022225,0.18858853095670566
16.0,101,4,0.0,46.311499426812226,0.0,0.9987431930916826,0.031875792307044924
16.0,101,4,0.001,46.311499426812226,0.002894468714175764,0.9991937872957886,0.03128025065614276
16.0,101,4,0.01,46.311499426812226,0.02894468714175764,0.998396821134261,0.04437823438712691
16.0,101,4,0.1,46.311499426812226,0.2894468714175764,0.959985149056568,0.2233484636233693
16.0,102,4,0.0,54.682865586182025,0.0,0.9986238393391874,0.04123811434486419
16.0,102,4,0.001,54.682865586182025,0.0034176790991363765,0.9985446819503313,0.04245346176348844
16.0,102,4,0.01,54.682865586182025,0.03417679099136377,0.9970504965088938,0.061177203858123676
16.0,102,4,0.1,54.682865586182025,0.3417679099136377,0.9132841092246705,0.3278836766948928
32.0,100,4,0.0,79.2855334722933,0.0,0.9985226866250252,0.042726363218596776
32.0,100,4,0.001,79.2855334722933,0.004955345842018331,0.9984703612865828,0.043448850987090865
32.0,100,4,0.01,79.2855334722933,0.04955345842018331,0.9964918111303421,0.06683751450650843
32.0,100,4,0.1,79.2855334722933,0.4955345842018331,0.8650322200497335,0.4060851340861502
32.0,101,4,0.0,77.72919359696698,0.0,0.9987968396634422,0.03910348480079237
32.0,101,4,0.001,77.72919359696698,0.004858074599810436,0.9987309323998483,0.040058995545893955
32.0,101,4,0.01,77.72919359696698,0.048580745998104365,0.9969016690625047,0.06235051973392139
32.0,101,4,0.1,77.72919359696698,0.48580745998104363,0.8915809565190563,0.3661519885920189
32.0,102,4,0.0,94.34358430493327,0.0,0.9956338930363736,0.05826997501915977
32.0,102,4,0.001,94.34358430493327,0.00589647401905833,0.9974017764164954,0.05632235781600947
32.0,102,4,0.01,94.34358430493327,0.058964740190583294,0.9934835438984242,0.08907643345232481
32.0,102,4,0.1,94.34358430493327,0.589647401905833,0.7013780735015458,0.6521158903685345
64.0,100,4,0.0,119.06025959353634,0.0,0.9986107957786906,0.041779594900019916
64.0,100,4,0.001,119.06025959353634,0.007441266224596022,0.998517460167793,0.043140300522869816
64.0,100,4,0.01,119.06025959353634,0.07441266224596021,0.9962126466050653,0.0691879628755786
64.0,100,4,0.1,119.06025959353634,0.7441266224596021,0.8813477410239936,0.386491772226725
64.0,101,4,0.0,113.99266191788112,0.0,0.9986210074769067,0.04187835357526528
64.0,101,4,0.001,113.99266191788112,0.0071245413698675705,0.9985270683795966,0.042996994610751786
64.0,101,4,0.01,113.99266191788112,0.07124541369867571,0.9956820552519366,0.0729882491670534
64.0,101,4,0.1,113.99266191788112,0.7124541369867571,0.825393108023887,0.4783588366440831
64.0,102,4,0.0,138.4931061601489,0.0,0.996729773393274,0.06211722169225187
64.0,102,4,0.001,138.4931061601489,0.008655819135009306,0.99657595084816,0.06432655190833506
64.0,102,4,0.01,138.4931061601489,0.08655819135009306,0.9916834463623913,0.0996935369257039
64.0,102,4,0.1,138.4931061601489,0.8655819135009306,0.6482680571977985,0.7267471727671979
128.0,100,4,0.0,231.17413663654983,0.0,0.9956410465147427,0.07442567612300041
128.0,100,4,0.001,231.17413663654983,0.014448383539784365,0.9953296418347177,0.07745145169781362
128.0,100,4,0.01,231.17413663654983,0.14448383539784365,0.9828433064755694,0.14765608828313492
128.0,100,4,0.1,231.17413663654983,1.4448383539784366,0.4990674044469942,0.9265973378932018
128.0,101,4,0.0,209.32323823066366,0.0,0.9956574698455011,0.0713675384498254
128.0,101,4,0.001,209.32323823066366,0.01308270238941648,0.9951658093953962,0.07618739675161547
128.0,101,4,0.01,209.32323823066366,0.13082702389416478,0.9831387659555862,0.14827887858409275
128.0,101,4,0.1,209.32323823066366,1.308270238941648,0.4900132300888581,0.9444940894177687
128.0,102,4,0.0,280.24435409536295,0.0,0.9923889279370023,0.0905856309878662
128.0,102,4,0.001,280.24435409536295,0.017515272130960186,0.9910932435480618,0.09914343621463673
128.0,102,4,0.01,280.24435409536295,0.17515272130960186,0.9676949410350276,0.1969534291503801
128.0,102,4,0.1,280.24435409536295,1.7515272130960184,0.315402552784643,1.1691295466704907
